Word,Value
the,1
health,2
women,3
study,4
climate,5
energy,6
results,7
data,8
change,9
gender,10
mortality,11
this,12
in,13
we,14
countries,15
among,16
using,17
violence,18
years,19
use,20
global,21
associated,22
also,23
methods,24
analysis,25
used,26
social,27
wellbeing,28
environmental,29
higher,30
a,31
factors,32
risk,33
care,34
95,35
sexual,36
model,37
female,38
fgm,39
emissions,40
mental,41
studies,42
renewable,43
per,44
age,45
rate,46
development,47
abstract,48
ci,49
impact,50
men,51
however,52
road,53
suicide,54
may,55
effects,56
increase,57
increased,58
physical,59
support,60
population,61
deaths,62
level,63
rates,64
different,65
economic,66
research,67
high,68
fgmc,69
significant,70
life,71
impacts,72
services,73
patients,74
carbon,75
one,76
reported,77
public,78
two,79
conclusions,80
findings,81
compared,82
effect,83
water,84
national,85
important,86
well,87
time,88
models,89
paper,90
background,91
equality,92
policy,93
policies,94
significantly,95
total,96
system,97
based,98
related,99
traffic,100
consumption,101
changes,102
womens,103
potential,104
good,105
future,106
period,107
differences,108
lower,109
maternal,110
injuries,111
genital,112
evidence,113
group,114
areas,115
found,116
to,117
children,118
conclusion,119
survey,120
within,121
production,122
adaptation,123
death,124
positive,125
due,126
including,127
likely,128
management,129
quality,130
across,131
included,132
show,133
overall,134
practice,135
low,136
objective,137
work,138
child,139
new,140
prevalence,141
human,142
air,143
outcomes,144
injury,145
three,146
1,147
conducted,148
p,149
index,150
systems,151
education,152
abuse,153
less,154
type,155
approach,156
temperature,157
information,158
it,159
participants,160
groups,161
our,162
number,163
sustainable,164
general,165
partner,166
current,167
levels,168
measures,169
warming,170
need,171
reduce,172
community,173
relationship,174
main,175
domestic,176
conditions,177
many,178
status,179
growth,180
inequality,181
electricity,182
could,183
reduction,184
urban,185
n,186
china,187
fuel,188
increasing,189
first,190
strategies,191
there,192
control,193
sample,194
association,195
ipv,196
review,197
observed,198
family,199
these,200
pollution,201
regression,202
year,203
role,204
method,205
still,206
2,207
knowledge,208
access,209
case,210
people,211
rural,212
power,213
local,214
identified,215
mean,216
average,217
suggest,218
mutilation,219
aim,220
although,221
sources,222
present,223
assess,224
world,225
problems,226
planning,227
marriage,228
older,229
species,230
income,231
provide,232
design,233
scale,234
resources,235
assessment,236
whether,237
ratio,238
psychological,239
greater,240
estimated,241
developed,242
assessed,243
2015,244
would,245
treatment,246
efficiency,247
regions,248
negative,249
aged,250
substance,251
four,252
respectively,253
indicators,254
characteristics,255
literature,256
variables,257
key,258
household,259
state,260
regional,261
showed,262
3,263
major,264
land,265
common,266
improve,267
range,268
analyses,269
gas,270
respondents,271
practices,272
examined,273
underfive,274
africa,275
identify,276
considered,277
interventions,278
states,279
types,280
order,281
experience,282
food,283
sector,284
therefore,285
primary,286
focus,287
exposure,288
girls,289
area,290
region,291
decreased,292
intimate,293
understanding,294
developing,295
trends,296
examine,297
gap,298
causes,299
medical,300
oral,301
cause,302
several,303
process,304
estimates,305
available,306
individual,307
sex,308
hospital,309
pregnancy,310
even,311
recent,312
soil,313
adults,314
or,315
objectives,316
especially,317
better,318
needs,319
scenarios,320
without,321
towards,322
crosssectional,323
large,324
estimate,325
thus,326
addition,327
fuels,328
despite,329
country,330
co2,331
lack,332
cases,333
communities,334
efforts,335
five,336
direct,337
outcome,338
associations,339
emission,340
students,341
greenhouse,342
c,343
poor,344
limited,345
framework,346
15,347
for,348
response,349
implications,350
natural,351
needed,352
performed,353
interviews,354
result,355
000,356
satisfaction,357
determine,358
fossil,359
technologies,360
2014,361
improved,362
influence,363
experiences,364
united,365
clean,366
indicate,367
individuals,368
socioeconomic,369
international,370
odds,371
specific,372
experienced,373
context,374
longterm,375
report,376
male,377
since,378
function,379
households,380
investigate,381
multiple,382
explore,383
particularly,384
reducing,385
perceived,386
pain,387
discrimination,388
south,389
shows,390
activities,391
times,392
footprint,393
precipitation,394
alcohol,395
existing,396
18,397
increases,398
analyzed,399
relative,400
patterns,401
india,402
climatic,403
environment,404
importance,405
european,406
effective,407
procurement,408
ecological,409
questionnaire,410
young,411
cost,412
heat,413
performance,414
10,415
highest,416
factor,417
aimed,418
substantial,419
disease,420
financial,421
terms,422
find,423
birth,424
service,425
100,426
stress,427
spatial,428
distribution,429
responses,430
rise,431
us,432
sustainability,433
trend,434
biomass,435
similar,436
much,437
often,438
5,439
proportion,440
safety,441
demographic,442
extent,443
burden,444
as,445
building,446
20,447
measure,448
academic,449
events,450
consequences,451
depression,452
females,453
variability,454
include,455
growing,456
challenges,457
address,458
waste,459
values,460
scores,461
least,462
previous,463
50,464
issues,465
necessary,466
costs,467
agricultural,468
extreme,469
secondary,470
cultural,471
evaluation,472
reduced,473
systematic,474
past,475
attitudes,476
subjective,477
annual,478
help,479
traditional,480
12,481
particular,482
suggests,483
measured,484
rights,485
government,486
empirical,487
criteria,488
processes,489
activity,490
six,491
made,492
drivers,493
logistic,494
qualitative,495
adjusted,496
job,497
intervention,498
disorders,499
symptoms,500
aor,501
possible,502
test,503
supply,504
value,505
targets,506
expected,507
prevention,508
early,509
keywords,510
clinical,511
mens,512
complications,513
relationships,514
4,515
cycle,516
contribute,517
barriers,518
decrease,519
majority,520
calculated,521
vehicle,522
crashes,523
oil,524
according,525
affect,526
daily,527
selected,528
improvement,529
educational,530
months,531
demand,532
yet,533
around,534
issue,535
2013,536
severe,537
2011,538
predicted,539
males,540
school,541
clitoral,542
economy,543
account,544
implementation,545
attention,546
solar,547
goals,548
additional,549
provided,550
living,551
green,552
various,553
labour,554
ratios,555
2017,556
gdp,557
generation,558
evaluate,559
